,trip_id,route_id,stop_id,vehicle_id,time_of_day,date,dist_along_route,stop_num_from_call,estimated_arrival_time,actual_arrival_time
19,CA_A6-Weekday-SDon-041000_X1011_309,X11,450402,2648.0,12:25:00,20160127.0,8375.0271875,4.0,1683.22217011,2787.14125225
20,MA_A6-Weekday-SDon-039500_X1011_601,X11,450402,2897.0,12:25:00,20160127.0,19228.2406061,3.0,915.075410052,1122.84189652
21,CA_A6-Weekday-SDon-045500_X1011_318,X11,450402,2581.0,12:30:00,20160127.0,475.321479489,23.0,3950.26827554,5262.9701627
22,CA_A6-Weekday-SDon-043500_X1011_315,X11,450402,2645.0,12:30:00,20160127.0,3039.38802083,17.0,3552.76948773,3978.99205063
23,MA_A6-Weekday-SDon-044500_X1011_603,X11,450402,2890.0,12:30:00,20160127.0,1300.84446809,21.0,3823.49253811,4526.08720041
24,MA_A6-Weekday-SDon-042500_X1011_602,X11,450402,2631.0,12:30:00,20160127.0,6190.37354839,8.0,2771.44114674,3706.03714838
25,CA_A6-Weekday-SDon-041000_X1011_309,X11,450402,2648.0,12:30:00,20160127.0,10291.4931915,4.0,1816.59192692,2487.14125225
26,MA_A6-Weekday-SDon-039500_X1011_601,X11,450402,2897.0,12:30:00,20160127.0,22990.9341935,3.0,1205.36066401,822.841896521
27,CA_A6-Weekday-SDon-037500_MISC_433,X11,400070,2667.0,12:00:00,20160127.0,20799.4230769,2.0,859.013566755,894.452950173
28,CA_A6-Weekday-SDon-037500_MISC_433,X11,400070,2667.0,12:05:00,20160127.0,24318.5269231,2.0,1130.50629662,594.452950173
29,CA_A6-Weekday-SDon-037500_MISC_433,X11,400070,2667.0,12:10:00,20160127.0,27811.49125,2.0,1399.98240813,294.452950173
30,CA_A6-Weekday-SDon-041000_X1011_309,X11,400070,2648.0,12:10:00,20160127.0,4214.61142857,13.0,3098.01430392,3442.41189073
31,MA_A6-Weekday-SDon-042500_X1011_602,X11,400070,2631.0,12:15:00,20160127.0,1216.28232558,20.0,3632.32974532,4419.97240974
32,CA_A6-Weekday-SDon-041000_X1011_309,X11,400070,2648.0,12:15:00,20160127.0,5785.6659375,9.0,2844.39533264,3142.41189073
33,MA_A6-Weekday-SDon-042500_X1011_602,X11,400070,2631.0,12:20:00,20160127.0,3243.37625,15.0,3278.24223297,4119.97240974
34,CA_A6-Weekday-SDon-041000_X1011_309,X11,400070,2648.0,12:20:00,20160127.0,7162.983125,5.0,2385.3015825,2842.41189073
35,CA_A6-Weekday-SDon-043500_X1011_315,X11,400070,2645.0,12:25:00,20160127.0,1047.35903226,20.0,3604.58883342,4102.5511811
36,MA_A6-Weekday-SDon-044500_X1011_603,X11,400070,2890.0,12:25:00,20160127.0,11.94,23.0,3842.58959297,4520.6048442
37,MA_A6-Weekday-SDon-042500_X1011_602,X11,400070,2631.0,12:25:00,20160127.0,4480.66875,12.0,2994.47546373,3819.97240974
38,CA_A6-Weekday-SDon-041000_X1011_309,X11,400070,2648.0,12:25:00,20160127.0,8375.0271875,3.0,1505.9463369,2542.41189073
