,stop_id,route_id,shape_id,direction_id,dist_along_route
590,203513,S52,S520107,0,11121.02
591,203226,S52,S520107,0,11440.83
592,203105,S52,S520107,0,12259.38
593,200218,S52,S520107,0,12328.79
594,200219,S52,S520107,0,12418.56
595,200220,S52,S520107,0,12523.7
596,203096,S52,S520107,0,12636.61
597,203097,S52,S520107,0,12869.34
598,203231,S52,S520107,0,13115.61
599,203232,S52,S520107,0,13323.69
600,203828,S52,S520107,0,13577.74
601,203487,S52,S520107,0,13865.12
602,805127,S52,S520107,0,14318.08
603,805124,S52,S520109,0,0.03
604,203391,S52,S520109,0,720.56
605,203236,S52,S520109,0,1362.17
606,203228,S52,S520109,0,1499.97
607,200110,S52,S520109,0,1657.48
608,200111,S52,S520109,0,1769.6
609,203104,S52,S520109,0,1875.92
610,200113,S52,S520109,0,1963.36
611,200114,S52,S520109,0,2036.11
612,203428,S52,S520109,0,2920.92
613,203629,S52,S520109,0,3192.31
614,203429,S52,S520109,0,3265.38
615,203430,S52,S520109,0,3378.19
616,200119,S52,S520109,0,3576.28
617,200120,S52,S520109,0,3781.26
618,200121,S52,S520109,0,3975.69
619,200122,S52,S520109,0,4196.77
620,200123,S52,S520109,0,4376.12
621,200124,S52,S520109,0,4530.89
622,200125,S52,S520109,0,4679.42
623,200126,S52,S520109,0,4834.91
624,200127,S52,S520109,0,4969.15
625,200694,S52,S520109,0,5211.75
626,200695,S52,S520109,0,5442.98
627,203013,S52,S520109,0,5638.03
628,201220,S52,S520109,0,5848.23
629,201221,S52,S520109,0,6162.79
630,201222,S52,S520109,0,6333.21
631,201223,S52,S520109,0,6632.72
632,201224,S52,S520109,0,6918.92
633,201225,S52,S520109,0,7212.23
634,203674,S52,S520109,0,7580.36
635,203116,S52,S520109,0,7751.76
636,201059,S52,S520109,0,8140.12
637,201060,S52,S520109,0,8410.42
638,201061,S52,S520109,0,8641.37
639,201062,S52,S520109,0,8902.24
640,202788,S52,S520109,0,9155.12
641,202981,S52,S520109,0,9504.02
642,201235,S52,S520109,0,9787.5
643,201236,S52,S520109,0,10104.05
644,201237,S52,S520109,0,10375.17
645,201238,S52,S520109,0,10606.68
646,200280,S52,S520109,0,10748.2
647,200281,S52,S520109,0,10934.42
648,201241,S52,S520109,0,11190.84
649,200754,S52,S520109,0,11477.57
650,200755,S52,S520109,0,11627.44
651,200756,S52,S520109,0,11733.29
652,200757,S52,S520109,0,12009.24
653,200758,S52,S520109,0,12260.73
654,202608,S52,S520109,0,12471.16
655,200760,S52,S520109,0,12644.62
656,200761,S52,S520109,0,12773.98
657,200762,S52,S520109,0,13012.15
658,200763,S52,S520109,0,13124.0
659,200764,S52,S520109,0,13289.4
660,200765,S52,S520109,0,13631.24
661,203650,S52,S520109,0,13925.1
662,805014,S52,S520109,0,14332.77
663,202586,S54,S540110,0,0.0
664,201719,S54,S540110,0,190.86
665,201720,S54,S540110,0,359.14
666,201721,S54,S540110,0,575.04
667,200311,S54,S540110,0,768.78
668,200312,S54,S540110,0,967.79
669,200313,S54,S540110,0,1123.02
670,200314,S54,S540110,0,1326.81
671,203047,S54,S540110,0,1579.32
672,203048,S54,S540110,0,1888.49
673,203148,S54,S540110,0,2114.08
674,203049,S54,S540110,0,2272.15
675,201730,S54,S540110,0,2616.37
676,201731,S54,S540110,0,2815.55
677,201732,S54,S540110,0,2971.71
678,201733,S54,S540110,0,3126.58
679,201734,S54,S540110,0,3323.14
680,201735,S54,S540110,0,3490.3
681,201736,S54,S540110,0,3658.04
682,201737,S54,S540110,0,3823.38
683,201738,S54,S540110,0,4192.67
684,201739,S54,S540110,0,4357.43
685,201740,S54,S540110,0,4587.37
686,201741,S54,S540110,0,4830.14
687,201742,S54,S540110,0,5005.29
688,201743,S54,S540110,0,5132.18
689,201744,S54,S540110,0,5485.98
690,201745,S54,S540110,0,5753.82
691,201746,S54,S540110,0,5941.26
692,201747,S54,S540110,0,6167.25
693,201363,S54,S540110,0,6444.76
694,203453,S54,S540110,0,6761.53
695,203662,S54,S540110,0,6990.9
696,203663,S54,S540110,0,7304.44
697,203973,S54,S540110,0,7757.71
698,203664,S54,S540110,0,8132.41
699,201366,S54,S540110,0,8837.72
700,201369,S54,S540110,0,9927.45
701,201370,S54,S540110,0,10343.07
702,203028,S54,S540110,0,10577.77
703,200341,S54,S540110,0,11035.63
704,200342,S54,S540110,0,11198.36
705,200343,S54,S540110,0,11527.22
706,203786,S54,S540110,0,11676.64
707,202933,S54,S540110,0,11823.13
708,203645,S54,S540110,0,12060.05
709,203646,S54,S540110,0,12532.49
710,200350,S54,S540110,0,12582.32
711,203208,S54,S540110,0,12701.91
712,202725,S54,S540110,0,13048.74
713,202611,S54,S540110,0,13348.24
714,202726,S54,S540110,0,13586.26
715,203146,S54,S540110,0,13798.75
716,203147,S54,S540110,0,14051.27
717,200357,S54,S540110,0,14301.87
718,200358,S54,S540110,0,14541.31
719,200359,S54,S540110,0,14744.58
720,203602,S54,S540110,0,15015.0
721,203404,S54,S540110,0,15167.91
722,200361,S54,S540110,0,15420.17
723,200362,S54,S540110,0,15749.76
724,200363,S54,S540110,0,16026.51
725,200364,S54,S540110,0,16197.89
726,200367,S54,S540110,0,16760.41
727,200368,S54,S540110,0,17050.66
728,202664,S54,S540110,0,17229.24
729,202665,S54,S540110,0,17379.21
730,905107,S54,S540110,0,17606.53
