,actual,baseline,lbfgs,sgd,adam
2069,254.074508,142.281325037,142.086524915,115.582001007,140.242828951
2070,137.850183,182.18310154,175.401151909,162.050534047,186.033495988
2071,2121.601206,1699.18461526,1943.03932005,2093.92231053,1981.40845276
2072,552.078067,451.67917879,460.971391724,441.046870877,472.744297472
2073,952.275977,1042.14295391,1126.05083161,1166.86038675,1160.89132707
2074,1602.219713,1528.92890378,1807.84571322,1957.88140366,1834.01410631
2075,1589.008356,1630.29064846,1681.05370801,1726.39675464,1763.34989785
2076,321.089758,267.452999558,286.477109221,293.234268012,296.691765411
2077,314.0,250.721754587,257.491133149,242.29218179,262.10122437
2078,136.570691,153.340871217,173.168161074,146.460640688,163.500433123
2079,415.414332,556.669928882,507.358364825,495.687813714,558.036723612
2080,288.179919,260.819607578,308.389607894,308.992926786,303.634274508
2081,2584.998549,2692.08164637,2990.74704321,3167.93402719,3067.19123195
2082,72.687745,103.880688336,109.824920994,87.3221244718,105.772884511
2083,1490.327891,1138.72601447,1333.41273614,1428.48050911,1348.97756928
2084,1463.570725,1552.31232572,1586.08707151,1574.62309315,1651.82661215
2085,283.412198,259.701944967,263.02589619,170.79881863,238.9414345
2086,4026.262933,1253.84156306,3185.95767814,2684.00109961,3368.15383154
2087,248.537784,144.374194028,175.959895659,188.520904272,177.751983618
2088,2282.587942,2146.8884665,2221.74291077,2234.75995024,2310.96024041
2089,142.692167,192.36067043,215.792141632,203.209459008,213.189471884
2090,1432.328298,1198.54579591,1412.84537952,1532.95287181,1436.6597828
2091,352.297249,257.988316816,293.989870876,288.614779858,291.839011798
2092,1939.964166,1524.42762871,1820.60576955,1971.26381497,1842.76489812
2093,2972.717682,2431.69174692,2863.02875865,3104.18030089,2908.55153399
2094,338.159995,229.030378185,343.740594746,370.802624317,340.070054963
2095,1828.116998,1605.28969683,1840.22004973,1970.61523472,1870.77068576
2096,905.016474,945.171995967,1047.81151221,1095.03092463,1071.4821307
2097,643.571699,580.842220666,657.463001654,713.352656133,676.185987328
2098,117.224012,170.948001569,177.395879096,144.666007432,173.456438164
2099,1540.859743,1278.29247852,1369.08317352,1386.99118233,1406.35535761
2100,543.678397,536.78307443,556.334266472,561.462371665,580.134669978
2101,1585.941176,1422.760144,1659.01215963,1799.46751862,1690.35885951
2102,404.508667,442.566746756,577.492563824,560.207661432,547.711340472
2103,1049.492866,1360.00944328,1471.2233933,1512.98190054,1512.55181427
2104,268.12115,191.816819935,231.249214599,236.244694989,227.732008513
2105,232.267765,180.168634913,294.645642806,305.153248207,292.728300621
