,actual,baseline,identity,logistic,tanh,relu
2235,409.44474,411.45571794,342.759317495,381.988476516,338.068428249,380.227445159
2236,1543.735409,1217.73403505,1208.00923493,1323.30938784,1198.49791809,1215.66442283
2237,276.110703,240.466890301,233.160784561,254.592297672,231.150960399,239.747949054
2238,1117.0,1183.05734108,1184.08370458,1297.74814327,1175.6833883,1190.57362159
2239,478.196857,381.479932093,490.101935284,517.422220279,485.036600023,438.490886301
2240,720.449502,680.091552403,926.45997123,981.183350384,918.432707756,804.498574227
2241,1882.280951,546.749700887,1120.25734995,1158.0409677,1090.96422209,1636.42412457
2242,558.630174,513.509143853,493.661051689,538.172349531,487.864263626,507.63711247
2243,785.24569,695.552235841,772.493012465,835.511894929,767.752239553,735.879536573
2244,611.361194,446.863986269,551.942297307,586.280694659,546.827029495,501.873339491
2245,95.903652,149.167014063,195.925208816,207.282452201,194.58957536,172.839529865
2246,221.582635,285.187804864,269.410552711,290.121070993,264.464974458,283.904234478
2247,166.022885,111.053049475,137.75229872,141.605603663,135.052704142,127.474825072
2248,126.85876,141.521729316,201.380708013,211.998906163,199.7770001,171.435952217
2249,860.360638,583.351695159,772.107071411,817.876692556,765.457532792,677.227254418
2250,444.742222,518.46031533,558.109602688,598.967863489,552.48043159,538.440094764
2251,770.201942,876.002009348,930.229425265,1007.63630091,922.388791569,908.986601126
2252,1436.041633,1282.94531121,1570.39880629,1683.63266285,1560.14509059,1427.81139485
2253,533.748436,457.287272128,581.294764424,617.25657553,576.213397132,521.266466945
2254,375.496511,386.422653699,532.427046306,560.866104157,527.015883513,461.130790831
2255,1389.590834,890.824484912,1156.19522335,1231.89372789,1147.69676093,1024.5904468
2256,1057.341122,719.268874204,987.413411376,1043.96919688,978.4127574,855.024127578
2257,699.668157,729.977338091,689.177705867,759.709218678,683.257435388,716.117156629
2258,423.382522,441.106859415,398.313106602,441.689113958,394.638484678,424.218078103
2259,528.153955,476.884395373,494.228788923,537.255247966,490.597139602,489.065586152
2260,127.172824,99.0229214233,142.076530228,147.915856138,140.811123456,118.66096173
2261,1376.991848,1340.04428178,1473.39285978,1598.79589451,1465.37019486,1403.17625426
2262,1231.062577,1097.27191488,1303.85707739,1404.28904071,1296.76659547,1200.01564112
2263,502.397361,452.846898911,545.801611303,581.303145547,540.85093753,501.845875396
2264,1125.945414,1103.5273675,1217.69161696,1320.41881354,1210.64869319,1162.46893983
2265,136.802888,169.917560351,144.776034357,157.960075979,142.087800558,161.598309401
2266,1072.572423,982.970828887,943.858657854,1038.98083131,936.196713898,971.210756192
2267,858.630174,797.413997484,757.500805831,831.376029108,749.722611059,783.098899952
2268,1368.0,1353.32458616,1415.35467554,1543.83647852,1406.35626919,1389.42417582
2269,173.989096,161.967154301,216.270256228,225.418009186,213.326325448,191.171853243
2270,890.327891,639.585601515,863.273380012,913.997456318,855.661655206,753.088851097
2271,1108.237649,1382.66967167,988.168258987,1129.42454612,964.567904185,1200.76710065
2272,579.366137,679.039430119,656.15310103,720.669819614,651.30172576,667.390272935
2273,1410.695628,1432.27327789,1542.43456851,1675.76534892,1533.19233683,1485.85711684
2274,58.369484,81.4680030754,101.538843864,105.956966086,100.566626689,92.7806545214
2275,266.916375,289.742087565,442.904553715,467.925594079,438.978880827,417.459275226
2276,228.911339,263.077089732,329.247253192,346.208348823,325.24583487,299.058908868
2277,1149.959941,755.821013451,1177.58036288,1236.81941779,1163.84310896,1141.98004274
2278,1973.19648,1421.08106863,1649.49934376,1782.31355747,1640.95317028,1534.2928687
2279,111.352143,124.476251556,207.344584576,212.903367198,203.473744932,209.261646813
2280,859.846993,721.572987474,886.35132193,945.838692335,879.317649309,806.308143965
2281,652.801745,488.996852606,563.984791528,599.460877625,557.654441936,531.771442617
2282,1237.988606,1133.32439205,1398.70769019,1498.10718539,1389.41233808,1267.15696405
2283,279.116919,154.029237114,142.240956715,154.676414342,140.487142613,151.193004248
2284,1893.872816,2155.70455844,2446.21132445,2650.89753126,2434.20239993,2293.76020369
2285,173.853892,227.155537181,279.349751261,297.719524933,277.757185855,251.17470646
2286,284.077067,212.930868385,297.805862886,315.473468838,295.744200926,254.933294746
2287,890.362968,1048.16000744,1010.83107379,1108.24832172,1001.06666235,1036.84882643
2288,120.035092,123.194114713,154.367131137,162.5494069,153.077612691,139.766574127
2289,655.0,643.774643938,585.560310723,641.849428448,577.284908388,621.962425242
2290,940.8386,840.07590609,1076.24907655,1145.84396014,1067.87068574,960.180187341
2291,1482.401875,1550.06039015,1782.74220929,1925.31393791,1772.60390165,1666.78168408
2292,139.25793,103.535340843,101.450053954,105.165580663,98.4247504436,106.954052947
2293,2364.0,2348.30486719,2701.66190087,2920.91415744,2687.04319003,2524.15261498
2294,2013.794576,1842.84367724,2211.06637955,2377.98320939,2197.73400482,2027.25239777
2295,1205.926108,1217.69268814,1118.74668654,1239.16618708,1108.46859736,1179.12877788
2296,475.351944,392.175683775,491.282519139,525.01025692,488.332336181,441.893818193
2297,223.031338,250.281781421,342.651332229,360.072698081,339.577824207,295.158248733
2298,817.066612,698.108815368,698.588562321,762.490057301,692.791221701,704.445591739
2299,181.914107,111.002223896,187.867105126,190.813800755,184.457287849,172.243606413
2300,1080.240801,934.5712236,932.692387967,1020.14088237,925.323044891,940.767682766
2301,1212.121586,1207.19579574,1126.20413523,1243.71635999,1115.91916058,1177.70056068
2302,960.391515,690.823811837,443.34312628,509.872845075,425.941628363,581.690650577
2303,396.172593,350.131888148,451.435267119,479.707058936,448.200665503,401.478157065
2304,269.936354,171.236122036,227.036165168,235.787001019,223.674144012,201.748413752
2305,1790.0,636.265018853,1187.26107466,1233.24185183,1163.52127625,1519.218308
2306,672.733674,537.752826427,646.902136879,688.905287378,640.975694179,595.425812784
2307,725.323669,738.957108452,822.353325698,886.63431633,815.906645763,784.149560627
2308,194.877443,209.053152584,226.027298414,238.086352029,222.108306255,222.620454643
2309,204.834733,165.508807586,175.626136507,183.869225301,172.012258399,175.587446625
2310,1432.058262,1209.35388922,1393.84110616,1499.88136919,1383.91539163,1304.48713075
2311,899.764475,740.992810475,989.28806257,1053.06090544,982.538981417,864.743077404
2312,768.151843,677.257476269,809.216230608,866.984237708,803.234082572,744.961649524
2313,431.258735,526.687062381,484.506881494,524.596855553,476.157423931,511.103872346
2314,941.457216,723.109201947,762.52823144,825.595472496,756.211648651,742.622942545
2315,354.0,402.268247374,373.310504194,405.853271408,367.282437738,395.479197225
2316,1117.487692,1086.71914047,1264.98938149,1360.33983114,1256.14295207,1178.15178615
2317,229.222185,222.363141064,271.755937016,289.234073647,269.852831801,247.910296612
2318,1274.681545,1027.84898151,1171.28074835,1261.38753416,1162.76172764,1102.63635991
2319,339.012539,327.683393477,491.917664684,518.181164915,487.248084847,448.491068707
2320,249.99756,228.70399848,258.835738948,273.067224144,255.07307349,247.928523863
2321,993.638133,1103.52436365,1338.32884269,1436.86796278,1330.40763184,1221.13154334
2322,858.615875,725.966128414,1022.50985754,1080.60052617,1013.13525867,880.266150686
2323,1763.505641,1693.77588201,1851.55390812,2005.10267456,1838.39839855,1778.83377376
2324,1905.733814,1416.89695033,2077.7044466,2194.08561421,2057.95093013,1861.87420015
2325,631.004978,501.607313089,566.922189006,609.370897783,562.729358644,531.202217432
2326,760.535689,667.753393806,708.481370229,769.302143076,703.643890411,691.58177894
2327,269.094249,245.847551543,277.285930555,295.477937713,274.702489332,264.371890384
2328,87.19943,70.1932157789,96.1869545481,100.58891799,95.4832174757,83.4999190335
2329,974.33912,956.662035646,1050.23470209,1138.15282236,1043.23769661,1006.05011004
2330,488.0,343.46511027,446.291846862,469.43277579,441.261992477,397.84837665
2331,1654.883431,1256.54124007,1503.4702412,1603.9309906,1490.32299247,1386.34484243
2332,926.667048,949.608676889,1086.42589322,1172.28642608,1079.93269045,1019.05330356
2333,227.395537,186.029484684,255.032504304,264.602970068,251.295360922,223.165329192
2334,486.141809,411.122722448,457.398707878,492.489264722,454.139664131,436.486007818
2335,1271.058901,1373.91226543,1387.7813102,1517.76991236,1378.07623137,1383.42243769
2336,528.305108,433.634450718,478.380700742,512.123991964,473.272686516,460.543115951
2337,256.829105,342.81300674,390.427164192,421.132804393,388.559691434,364.376026635
2338,1668.365241,1561.94991631,1672.73386136,1817.2379028,1661.6374542,1622.9499149
2339,414.424622,426.418929004,392.020054089,426.423358337,385.460969016,417.616426876
2340,1367.511902,1372.38178219,1555.78452784,1680.85721049,1546.38634281,1465.82052928
2341,711.509663,943.515963304,805.142454296,894.755347081,793.320827438,884.834189797
2342,2521.335221,2528.32172203,2841.35870672,3077.00325562,2825.05994399,2686.4655384
2343,1572.794235,1550.99507907,1739.60326952,1883.37595455,1729.54031361,1646.8756725
2344,569.786354,647.018584332,586.201681454,643.242171385,577.965154917,623.795757085
2345,688.651525,575.489858688,638.663550622,691.241715975,635.453471546,602.682897429
2346,45.972412,36.6627967763,62.3111211668,56.8343130768,59.2790613576,53.5251950757
